Age,Salary,Experience,Credit_Score,Existing_Loans,EMI_Burden,Loan_Amount,Job_Type,City,Education,Marital_Status,Loan_Purpose,Loan_Approved
64,16690,40,793,2,84,707033,Government Job,Jaipur,Post Graduate,Single,Personal Loan,1
23,34877,2,493,0,38,735915,Government Job,Jaipur,Post Graduate,Single,Home Loan,0
57,104889,35,336,0,80,1041934,Private Job,Indore,Post Graduate,Married,Home Loan,0
27,48571,6,394,2,73,951826,Private Job,Jaipur,Post Graduate,Married,Home Loan,0
41,78531,19,363,1,46,772549,Government Job,Mumbai,Graduate,Single,Home Loan,1
29,161023,8,763,1,23,891997,Private Job,Jaipur,High School,Single,Education Loan,1
59,91494,36,456,1,86,934404,Self Employed,Mumbai,Post Graduate,Married,Home Loan,0
38,53509,17,792,2,40,233547,Private Job,Delhi,Graduate,Married,Home Loan,1
24,55774,1,434,1,74,1324270,Government Job,Delhi,Post Graduate,Single,Car Loan,0
45,75798,24,664,3,60,1065277,Private Job,Jaipur,High School,Married,Home Loan,0
34,10000,13,853,0,25,1293611,Private Job,Delhi,Post Graduate,Single,Home Loan,1
29,73233,7,445,1,82,575456,Private Job,Jaipur,High School,Married,Personal Loan,0
46,51698,28,344,0,46,721849,Private Job,Mumbai,Graduate,Single,Car Loan,1
22,57677,3,824,3,88,1486306,Government Job,Delhi,Graduate,Married,Education Loan,0
40,63173,22,591,2,11,566970,Self Employed,Mumbai,Post Graduate,Divorced,Home Loan,1
48,106971,26,790,3,23,371085,Private Job,Indore,Graduate,Single,Car Loan,1
27,67693,3,365,0,13,1323359,Self Employed,Bhopal,Graduate,Married,Education Loan,1
64,67041,40,844,3,68,884697,Government Job,Jaipur,High School,Single,Education Loan,0
28,81451,7,641,0,39,176230,Private Job,Jaipur,Graduate,Divorced,Education Loan,1
55,62184,37,345,3,54,1007988,Government Job,Delhi,Graduate,Married,Car Loan,0
34,79849,15,834,3,15,348954,Private Job,Bhopal,Graduate,Single,Personal Loan,1
37,56601,19,656,2,77,1451293,Private Job,Jaipur,High School,Married,Education Loan,0
56,94900,34,539,0,32,964978,Private Job,Bhopal,High School,Single,Home Loan,1
60,98351,36,450,0,73,374562,Self Employed,Bhopal,Graduate,Single,Personal Loan,0
24,80177,5,736,2,50,797950,Self Employed,Mumbai,High School,Single,Personal Loan,1
22,10000,1,499,4,78,92312,Government Job,Mumbai,Graduate,Single,Education Loan,0
26,65258,6,764,0,14,1426876,Government Job,Jaipur,Graduate,Married,Car Loan,1
62,10000,40,781,0,38,158682,Private Job,Delhi,Post Graduate,Married,Personal Loan,1
24,71445,4,450,1,24,1449157,Self Employed,Bhopal,High School,Married,Home Loan,0
49,108099,28,348,0,63,1399140,Private Job,Indore,Graduate,Single,Personal Loan,0
38,94274,16,711,1,74,1079333,Private Job,Jaipur,Graduate,Divorced,Car Loan,1
46,51938,27,826,1,64,1319080,Government Job,Jaipur,Graduate,Married,Car Loan,1
64,55195,40,704,0,40,387284,Private Job,Jaipur,Graduate,Married,Education Loan,1
54,10000,31,689,2,41,1107130,Government Job,Indore,High School,Single,Personal Loan,1
30,60400,9,691,0,48,1246240,Private Job,Bhopal,Graduate,Married,Home Loan,1
56,53858,32,332,0,33,1009584,Private Job,Indore,Post Graduate,Married,Car Loan,1
34,22315,14,448,0,89,299251,Private Job,Jaipur,Graduate,Single,Car Loan,0
51,30563,32,640,2,81,1454068,Private Job,Bhopal,Graduate,Married,Car Loan,0
35,24054,12,629,0,77,1444198,Government Job,Mumbai,Graduate,Single,Education Loan,0
28,124433,10,623,1,24,1389974,Government Job,Mumbai,Graduate,Single,Education Loan,1
34,63581,14,521,0,64,1399992,Self Employed,Jaipur,High School,Single,Education Loan,0
43,82620,23,327,0,34,840869,Private Job,Jaipur,High School,Married,Home Loan,0
60,87478,37,521,2,11,1498952,Private Job,Delhi,Post Graduate,Married,Home Loan,1
41,108361,22,642,1,89,209890,Self Employed,Bhopal,Graduate,Married,Education Loan,0
36,107413,12,766,4,63,820226,Self Employed,Bhopal,Graduate,Married,Car Loan,0
38,88322,16,405,0,48,284788,Private Job,Mumbai,High School,Divorced,Home Loan,0
44,14355,22,652,0,49,113109,Private Job,Jaipur,Graduate,Divorced,Car Loan,1
46,88586,24,452,2,74,1429758,Government Job,Jaipur,High School,Single,Education Loan,0
45,48012,22,832,0,52,307160,Government Job,Jaipur,High School,Single,Education Loan,1
61,22104,40,827,0,62,1393364,Self Employed,Indore,Graduate,Single,Home Loan,1
49,48836,29,557,0,72,329558,Private Job,Indore,Post Graduate,Married,Education Loan,0
35,64594,11,602,2,57,1340855,Self Employed,Bhopal,Graduate,Single,Car Loan,1
21,10000,2,464,2,81,415634,Government Job,Jaipur,High School,Married,Personal Loan,0
45,72017,23,694,2,33,1464821,Government Job,Jaipur,Graduate,Married,Education Loan,1
27,94104,3,412,0,34,625330,Self Employed,Jaipur,High School,Married,Home Loan,0
29,62602,8,852,0,10,452993,Government Job,Mumbai,High School,Married,Car Loan,1
44,27533,25,864,0,58,117497,Private Job,Jaipur,Post Graduate,Married,Car Loan,1
21,78298,0,618,1,16,376423,Private Job,Mumbai,High School,Single,Car Loan,0
64,59190,40,646,2,35,805828,Self Employed,Indore,Post Graduate,Divorced,Personal Loan,1
28,112244,9,844,0,51,775940,Private Job,Bhopal,Graduate,Single,Personal Loan,1
44,10000,25,819,0,43,475911,Self Employed,Jaipur,High School,Single,Personal Loan,1
31,10000,10,755,0,89,146530,Government Job,Indore,High School,Married,Home Loan,0
37,57027,19,300,0,56,906200,Private Job,Indore,High School,Divorced,Education Loan,0
28,46172,4,616,1,45,1274970,Self Employed,Bhopal,Post Graduate,Married,Home Loan,1
55,68081,34,778,1,70,1409756,Private Job,Mumbai,High School,Married,Education Loan,1
55,72509,33,686,2,15,375101,Private Job,Bhopal,High School,Single,Personal Loan,1
53,105586,32,768,1,52,1161034,Private Job,Bhopal,Post Graduate,Single,Home Loan,1
25,52769,2,752,3,54,1499867,Private Job,Bhopal,High School,Divorced,Car Loan,0
62,73496,40,471,3,13,357049,Private Job,Indore,Graduate,Single,Car Loan,0
59,20537,37,323,0,31,654619,Private Job,Indore,Graduate,Single,Education Loan,0
61,133952,38,523,2,27,668753,Private Job,Bhopal,High School,Married,Home Loan,1
48,93180,24,451,2,26,1376328,Private Job,Mumbai,Graduate,Single,Home Loan,0
27,86476,8,564,1,61,822468,Private Job,Indore,High School,Married,Car Loan,0
29,35787,10,540,1,33,1310671,Self Employed,Mumbai,Graduate,Married,Education Loan,1
28,100871,10,534,0,41,508211,Self Employed,Bhopal,High School,Married,Home Loan,1
32,90398,9,555,3,59,909585,Private Job,Bhopal,Graduate,Single,Car Loan,0
54,79185,32,792,1,83,100089,Self Employed,Delhi,Post Graduate,Married,Personal Loan,1
53,56932,31,851,1,44,1338334,Private Job,Bhopal,Graduate,Single,Home Loan,1
43,28456,24,713,2,23,208362,Private Job,Jaipur,Graduate,Married,Personal Loan,1
44,58304,23,469,0,72,1212935,Government Job,Indore,Graduate,Married,Car Loan,0
57,36381,36,568,0,79,305949,Private Job,Bhopal,Graduate,Single,Personal Loan,0
55,71499,31,832,0,14,1308080,Private Job,Indore,Post Graduate,Married,Car Loan,1
64,26974,40,634,1,88,881566,Private Job,Indore,Graduate,Married,Education Loan,0
60,38469,38,869,3,69,411729,Self Employed,Jaipur,Graduate,Married,Car Loan,0
42,10000,24,803,2,44,501069,Private Job,Bhopal,Graduate,Married,Car Loan,1
47,75957,29,712,0,22,1382287,Private Job,Bhopal,Graduate,Single,Home Loan,1
55,72983,31,386,2,44,712348,Private Job,Bhopal,Post Graduate,Single,Home Loan,1
21,44813,0,540,3,79,473392,Private Job,Mumbai,High School,Single,Home Loan,0
55,10000,36,718,1,85,1432738,Private Job,Bhopal,Post Graduate,Married,Car Loan,1
57,10000,33,667,4,64,1234280,Private Job,Indore,Graduate,Single,Car Loan,0
34,63016,14,326,1,71,1209365,Government Job,Indore,Post Graduate,Divorced,Home Loan,0
23,90016,0,359,3,58,694877,Private Job,Indore,Graduate,Single,Personal Loan,0
21,30273,3,653,0,65,542865,Private Job,Delhi,High School,Single,Education Loan,1
25,96289,1,667,0,13,902545,Private Job,Bhopal,High School,Single,Car Loan,1
46,110385,23,357,3,46,1375027,Self Employed,Indore,Graduate,Married,Education Loan,0
34,73639,14,562,0,16,687091,Government Job,Mumbai,Post Graduate,Single,Personal Loan,1
59,91293,38,887,0,61,61225,Government Job,Jaipur,Post Graduate,Single,Education Loan,1
47,26217,28,731,2,22,325480,Private Job,Delhi,Graduate,Married,Education Loan,1
29,10000,8,595,1,70,1408910,Private Job,Jaipur,Graduate,Single,Education Loan,0
35,115830,17,887,1,50,469888,Self Employed,Mumbai,Graduate,Married,Education Loan,1
35,30293,14,618,0,10,1475861,Self Employed,Mumbai,High School,Single,Personal Loan,0
46,94552,24,576,1,74,95989,Private Job,Mumbai,High School,Married,Car Loan,0
62,72584,40,348,0,76,578519,Private Job,Delhi,Graduate,Single,Home Loan,0
33,112809,9,378,0,85,564032,Private Job,Jaipur,Graduate,Married,Home Loan,0
52,83271,32,587,0,25,208851,Private Job,Bhopal,Graduate,Married,Education Loan,1
59,24818,39,369,0,68,818373,Private Job,Bhopal,Graduate,Single,Home Loan,0
52,49613,31,588,1,10,449851,Private Job,Mumbai,High School,Married,Education Loan,0
24,81035,6,382,0,21,610487,Self Employed,Jaipur,High School,Single,Education Loan,1
50,43532,26,797,2,28,886748,Government Job,Mumbai,High School,Married,Car Loan,1
57,91386,37,457,1,71,844664,Private Job,Bhopal,Graduate,Single,Home Loan,0
43,62884,20,326,1,77,274771,Government Job,Bhopal,Graduate,Married,Home Loan,0
59,91983,40,581,1,76,755006,Government Job,Mumbai,High School,Single,Personal Loan,0
35,93869,13,898,2,71,1494934,Government Job,Indore,Graduate,Married,Home Loan,1
63,69313,40,303,0,70,1085183,Self Employed,Delhi,High School,Married,Car Loan,0
49,55964,30,704,0,64,932576,Self Employed,Mumbai,Graduate,Single,Education Loan,1
56,43937,38,666,4,31,1076723,Government Job,Bhopal,Graduate,Single,Car Loan,1
33,25631,9,311,0,52,328339,Private Job,Bhopal,Graduate,Married,Personal Loan,0
52,111592,32,625,0,31,775676,Private Job,Bhopal,High School,Single,Education Loan,1
27,62395,9,395,2,41,492222,Government Job,Mumbai,Graduate,Married,Personal Loan,1
42,52574,18,530,2,35,834079,Private Job,Indore,Graduate,Single,Home Loan,1
48,53002,29,481,0,87,309396,Self Employed,Indore,Graduate,Married,Education Loan,0
22,58419,0,839,0,26,1025524,Self Employed,Delhi,Graduate,Divorced,Car Loan,1
62,45303,39,501,2,87,1437845,Self Employed,Delhi,Graduate,Married,Home Loan,0
26,42853,3,416,3,82,449926,Self Employed,Jaipur,High School,Single,Car Loan,0
48,19072,30,639,0,68,372498,Self Employed,Delhi,High School,Single,Education Loan,0
48,61385,25,611,0,44,560093,Government Job,Jaipur,Post Graduate,Married,Car Loan,1
64,99182,40,897,2,22,100762,Government Job,Bhopal,Graduate,Single,Education Loan,1
64,38323,40,803,2,78,1107544,Government Job,Bhopal,Graduate,Single,Personal Loan,1
40,76560,21,853,2,74,420481,Private Job,Mumbai,Post Graduate,Single,Home Loan,1
50,77250,27,645,2,41,468275,Private Job,Mumbai,Post Graduate,Single,Car Loan,1
31,72052,10,883,2,82,903856,Private Job,Jaipur,High School,Single,Car Loan,0
48,116233,28,581,2,87,751366,Private Job,Delhi,Graduate,Single,Car Loan,0
45,78053,26,474,0,71,1382146,Self Employed,Mumbai,High School,Single,Education Loan,0
59,62016,38,723,4,24,901198,Private Job,Indore,Graduate,Married,Car Loan,1
53,70061,34,695,1,27,1023651,Private Job,Indore,Graduate,Single,Home Loan,1
21,85382,0,875,0,86,1496125,Private Job,Indore,Post Graduate,Single,Personal Loan,1
47,112199,25,692,0,43,399616,Private Job,Indore,High School,Single,Home Loan,1
33,52820,12,521,0,38,406202,Self Employed,Mumbai,Graduate,Married,Personal Loan,1
61,65385,40,720,1,74,1238539,Private Job,Bhopal,Graduate,Married,Education Loan,1
23,151830,1,445,1,31,333394,Private Job,Jaipur,Graduate,Married,Education Loan,0
59,58528,39,595,0,81,148689,Private Job,Indore,Post Graduate,Single,Education Loan,0
26,57276,2,590,1,53,357385,Private Job,Bhopal,Graduate,Married,Personal Loan,0
28,34813,6,800,1,37,1008648,Private Job,Jaipur,Graduate,Married,Car Loan,1
47,62512,23,744,0,65,338873,Private Job,Indore,Graduate,Single,Personal Loan,1
29,57774,10,439,2,18,889301,Government Job,Mumbai,Graduate,Married,Car Loan,1
57,71797,38,358,2,81,1225396,Private Job,Jaipur,High School,Single,Home Loan,0
53,68121,34,419,0,68,1189995,Private Job,Indore,High School,Single,Car Loan,0
62,10000,40,464,1,73,309534,Private Job,Delhi,Post Graduate,Married,Car Loan,0
64,20791,40,594,2,52,1254284,Self Employed,Delhi,Graduate,Married,Education Loan,0
44,55158,26,457,4,40,400451,Private Job,Indore,High School,Single,Car Loan,0
35,47243,14,878,2,22,78056,Private Job,Indore,High School,Single,Car Loan,1
52,28966,30,413,3,15,135643,Private Job,Delhi,Graduate,Married,Education Loan,0
52,10000,33,627,2,69,1133188,Private Job,Delhi,Graduate,Married,Personal Loan,0
44,108740,22,864,1,40,402729,Government Job,Jaipur,Graduate,Married,Personal Loan,1
61,108215,39,583,1,20,1384446,Private Job,Indore,High School,Married,Education Loan,1
32,82713,12,786,1,66,637492,Government Job,Bhopal,Graduate,Single,Education Loan,1
59,42430,38,866,2,75,927901,Self Employed,Jaipur,High School,Single,Home Loan,0
22,104080,2,492,0,57,1058424,Self Employed,Indore,Post Graduate,Single,Personal Loan,0
23,38429,0,892,2,66,1296707,Self Employed,Bhopal,High School,Married,Car Loan,0
57,73056,37,570,0,32,854513,Government Job,Indore,High School,Married,Personal Loan,1
37,36296,13,823,0,74,960670,Self Employed,Bhopal,Post Graduate,Married,Education Loan,1
22,60726,3,616,0,61,340779,Self Employed,Bhopal,High School,Married,Home Loan,1
22,74601,2,446,0,56,416062,Private Job,Indore,Graduate,Divorced,Home Loan,0
48,15084,27,550,0,67,884766,Private Job,Indore,Graduate,Single,Personal Loan,0
43,47328,24,677,0,84,1103378,Government Job,Delhi,Graduate,Married,Home Loan,1
57,67528,37,600,4,19,535345,Private Job,Indore,Graduate,Married,Car Loan,0
52,22371,33,406,0,88,553134,Self Employed,Mumbai,High School,Married,Education Loan,0
53,31714,31,823,2,51,616334,Self Employed,Delhi,High School,Single,Car Loan,0
21,67535,0,371,4,51,383443,Private Job,Jaipur,Graduate,Single,Education Loan,0
39,43960,21,523,1,46,521986,Government Job,Mumbai,Graduate,Married,Personal Loan,1
22,23112,4,641,3,19,338630,Government Job,Bhopal,Graduate,Married,Personal Loan,0
64,60889,40,313,1,88,1300287,Private Job,Indore,High School,Divorced,Education Loan,0
46,73050,24,578,0,53,584479,Government Job,Bhopal,High School,Single,Car Loan,1
52,127330,28,761,1,22,612409,Government Job,Jaipur,Post Graduate,Single,Education Loan,1
26,62527,6,540,0,70,649304,Government Job,Jaipur,High School,Married,Personal Loan,0
52,60331,29,507,2,20,880535,Self Employed,Indore,High School,Married,Home Loan,1
24,51463,0,420,0,34,475290,Private Job,Delhi,Post Graduate,Married,Personal Loan,1
31,94473,9,679,0,59,1409009,Private Job,Mumbai,Graduate,Married,Education Loan,1
37,69777,19,772,3,72,1406196,Government Job,Indore,High School,Single,Car Loan,0
58,85071,34,480,2,80,123540,Private Job,Jaipur,Graduate,Married,Education Loan,0
44,66673,24,441,2,66,107058,Self Employed,Delhi,Post Graduate,Married,Car Loan,0
25,87429,3,783,0,27,1250739,Private Job,Delhi,Graduate,Married,Home Loan,1
54,71342,34,366,0,14,383975,Self Employed,Jaipur,High School,Single,Education Loan,0
26,17760,8,785,0,69,1061079,Private Job,Indore,Graduate,Divorced,Car Loan,1
42,51353,21,866,0,53,1205267,Self Employed,Indore,High School,Married,Home Loan,1
31,52273,13,597,2,26,873642,Government Job,Mumbai,High School,Married,Car Loan,1
36,73301,13,385,4,53,103804,Private Job,Bhopal,Graduate,Single,Personal Loan,0
53,64579,35,644,3,72,371882,Self Employed,Jaipur,Graduate,Single,Car Loan,0
29,99912,10,454,2,17,152922,Private Job,Delhi,Graduate,Married,Home Loan,1
26,71941,2,388,0,47,1281998,Government Job,Mumbai,Post Graduate,Single,Personal Loan,1
36,74146,13,648,2,39,834187,Private Job,Delhi,High School,Single,Home Loan,1
49,29576,29,404,1,43,981848,Private Job,Mumbai,Post Graduate,Married,Personal Loan,0
23,64503,0,318,2,61,1077831,Government Job,Bhopal,Post Graduate,Single,Personal Loan,0
40,53557,21,678,4,10,320293,Self Employed,Mumbai,Graduate,Single,Home Loan,1
56,10000,32,869,2,22,638312,Private Job,Jaipur,Graduate,Married,Education Loan,1
39,20603,15,561,2,70,480162,Self Employed,Delhi,Graduate,Single,Education Loan,0
46,81689,24,343,2,41,1402450,Government Job,Indore,High School,Married,Personal Loan,1
23,79598,1,812,0,38,867678,Government Job,Delhi,Graduate,Married,Home Loan,1
39,42320,21,524,0,57,998821,Government Job,Mumbai,Graduate,Single,Personal Loan,0
40,43245,16,765,3,69,504901,Private Job,Bhopal,Graduate,Divorced,Personal Loan,0
52,25995,29,478,0,73,1488115,Private Job,Indore,Graduate,Single,Personal Loan,0
27,89694,8,874,3,28,573066,Government Job,Mumbai,Graduate,Single,Personal Loan,1
61,35717,37,656,0,55,1498780,Self Employed,Mumbai,Graduate,Married,Home Loan,1
53,42888,34,328,0,65,1499599,Private Job,Bhopal,Graduate,Married,Education Loan,0
60,90468,39,379,1,21,851996,Private Job,Delhi,Post Graduate,Single,Education Loan,1
59,89866,38,827,1,67,1015064,Private Job,Jaipur,High School,Married,Car Loan,1
38,54607,14,729,1,25,436462,Government Job,Jaipur,Post Graduate,Married,Education Loan,1
60,60378,40,409,0,61,1385221,Government Job,Bhopal,Post Graduate,Single,Education Loan,0
21,74129,0,342,1,63,1297740,Private Job,Jaipur,Post Graduate,Single,Home Loan,0
31,47709,8,634,1,43,1301641,Government Job,Delhi,Graduate,Married,Education Loan,1
48,57005,25,847,0,11,82248,Government Job,Indore,High School,Married,Education Loan,1
45,54116,23,826,0,74,601409,Self Employed,Mumbai,Post Graduate,Single,Education Loan,1
43,80611,22,762,1,62,308447,Private Job,Mumbai,Graduate,Divorced,Car Loan,1
51,102509,32,337,1,25,1470048,Private Job,Delhi,Graduate,Single,Car Loan,1
50,94383,26,772,0,61,1116248,Government Job,Delhi,High School,Single,Home Loan,1
62,90487,40,804,2,12,1112176,Self Employed,Bhopal,Post Graduate,Married,Education Loan,1
55,27142,37,452,1,16,696370,Government Job,Indore,Graduate,Married,Education Loan,1
27,98769,3,317,4,65,378450,Private Job,Bhopal,Graduate,Single,Car Loan,0
36,39712,16,815,1,44,676662,Government Job,Delhi,Graduate,Married,Personal Loan,1
46,10000,26,450,1,50,1410289,Government Job,Jaipur,Graduate,Single,Personal Loan,0
22,34525,0,452,0,27,1310992,Self Employed,Mumbai,Graduate,Single,Education Loan,0
21,57247,0,457,0,33,654155,Private Job,Indore,Graduate,Single,Personal Loan,0
32,10000,9,522,3,21,1404670,Government Job,Mumbai,Graduate,Married,Car Loan,0
25,81358,7,513,2,26,953178,Private Job,Delhi,Graduate,Single,Car Loan,1
57,84964,33,505,0,40,1456777,Private Job,Mumbai,Graduate,Single,Home Loan,1
52,48532,31,412,2,48,602872,Government Job,Indore,High School,Divorced,Education Loan,0
29,25018,7,473,1,24,819050,Private Job,Jaipur,Graduate,Married,Education Loan,0
61,87693,40,337,2,29,1143843,Self Employed,Delhi,Graduate,Married,Car Loan,1
55,32298,32,892,1,61,1169430,Private Job,Bhopal,Graduate,Single,Personal Loan,1
39,11384,21,357,4,59,1004926,Self Employed,Delhi,Graduate,Divorced,Education Loan,0
36,58066,14,599,0,78,1435619,Private Job,Delhi,Graduate,Single,Car Loan,0
23,60798,0,400,2,55,896842,Private Job,Mumbai,High School,Single,Home Loan,0
40,69403,17,844,0,78,992348,Private Job,Delhi,Graduate,Single,Education Loan,1
44,83036,20,550,1,41,475031,Private Job,Delhi,Graduate,Married,Home Loan,1
53,86691,31,878,3,70,1167856,Government Job,Delhi,Post Graduate,Married,Education Loan,1
44,22075,23,554,1,89,780095,Government Job,Delhi,High School,Single,Education Loan,0
31,10000,11,772,1,63,1151429,Government Job,Indore,Post Graduate,Single,Personal Loan,1
28,73791,8,667,2,25,1439426,Private Job,Bhopal,High School,Single,Education Loan,1
56,61489,35,308,2,34,92538,Government Job,Jaipur,Post Graduate,Married,Education Loan,1
58,46260,39,405,2,24,484964,Private Job,Mumbai,Graduate,Single,Personal Loan,0
60,55655,40,579,1,26,1268423,Private Job,Mumbai,Graduate,Divorced,Personal Loan,1
40,34911,18,724,1,38,1149765,Government Job,Mumbai,High School,Single,Car Loan,1
55,111815,34,840,3,33,725500,Self Employed,Delhi,Graduate,Single,Education Loan,1
45,10000,25,386,3,31,210906,Self Employed,Jaipur,Graduate,Married,Education Loan,0
55,72697,37,603,0,20,422534,Private Job,Indore,High School,Married,Education Loan,1
45,21446,26,769,1,28,396461,Self Employed,Indore,Post Graduate,Married,Education Loan,1
49,40168,31,487,0,36,628108,Self Employed,Indore,High School,Single,Personal Loan,0
38,46826,18,611,0,19,737748,Private Job,Mumbai,Post Graduate,Divorced,Home Loan,1
38,30549,17,793,0,86,1450269,Private Job,Jaipur,Graduate,Single,Personal Loan,0
22,53199,3,420,0,32,844826,Government Job,Indore,Graduate,Married,Education Loan,1
55,10000,33,561,1,54,310042,Government Job,Jaipur,Graduate,Married,Education Loan,0
36,14007,18,492,1,49,135599,Private Job,Bhopal,Graduate,Divorced,Personal Loan,0
61,10000,38,844,0,78,1067124,Government Job,Mumbai,Graduate,Single,Personal Loan,1
56,23362,32,640,0,64,348378,Self Employed,Bhopal,High School,Married,Home Loan,0
53,36134,30,374,2,73,538575,Government Job,Bhopal,Graduate,Single,Car Loan,0
24,59818,1,793,0,51,338628,Private Job,Mumbai,Post Graduate,Single,Education Loan,1
53,40698,34,364,0,54,343488,Private Job,Indore,High School,Divorced,Home Loan,0
34,33908,14,686,3,75,189845,Government Job,Bhopal,Graduate,Married,Car Loan,0
41,44281,22,314,2,85,646771,Private Job,Bhopal,High School,Single,Education Loan,0
40,39056,16,456,3,80,289800,Private Job,Indore,Post Graduate,Divorced,Personal Loan,0
28,48858,9,481,3,56,1381126,Private Job,Jaipur,High School,Divorced,Education Loan,0
27,49978,6,317,3,13,1256377,Private Job,Bhopal,Graduate,Married,Home Loan,0
23,36607,2,309,0,18,1020109,Government Job,Indore,Graduate,Single,Home Loan,0
37,12748,15,490,2,17,463755,Government Job,Mumbai,High School,Married,Education Loan,0
53,58559,29,686,0,42,305991,Self Employed,Delhi,Graduate,Married,Education Loan,1
32,85070,11,693,3,71,917434,Government Job,Mumbai,Graduate,Single,Education Loan,0
42,28180,19,391,1,72,63411,Government Job,Mumbai,High School,Married,Car Loan,0
42,56713,18,594,2,57,342482,Government Job,Jaipur,High School,Single,Car Loan,1
50,46688,30,672,4,88,538175,Self Employed,Delhi,High School,Divorced,Personal Loan,0
58,77403,36,852,3,52,564253,Private Job,Bhopal,High School,Married,Personal Loan,0
58,33980,40,773,0,63,169983,Private Job,Indore,Graduate,Married,Car Loan,1
28,53522,4,540,1,64,1422133,Private Job,Bhopal,Graduate,Married,Home Loan,0
47,56289,25,868,0,83,211374,Self Employed,Bhopal,High School,Single,Education Loan,0
47,67636,26,559,1,32,1168062,Private Job,Delhi,High School,Single,Education Loan,1
54,26961,32,461,0,52,606923,Private Job,Delhi,Graduate,Single,Personal Loan,0
41,69120,17,573,1,79,913433,Self Employed,Jaipur,Graduate,Single,Personal Loan,0
50,44019,28,577,1,75,1247986,Private Job,Jaipur,High School,Married,Personal Loan,0
53,75427,29,372,2,83,1041874,Private Job,Bhopal,High School,Single,Education Loan,0
48,48065,29,397,1,27,1291321,Private Job,Jaipur,Graduate,Single,Car Loan,0
53,97586,29,893,0,72,991024,Government Job,Delhi,High School,Married,Car Loan,1
25,11720,2,449,1,83,1312045,Private Job,Jaipur,Graduate,Married,Personal Loan,0
39,76301,20,724,1,24,910278,Government Job,Indore,Post Graduate,Married,Education Loan,1
24,69389,5,422,3,22,851712,Private Job,Delhi,Post Graduate,Married,Home Loan,0
55,73830,33,499,3,54,1419932,Government Job,Bhopal,High School,Single,Personal Loan,0
37,91594,16,599,0,33,60314,Private Job,Bhopal,High School,Divorced,Education Loan,1
64,10000,40,487,1,23,753848,Private Job,Mumbai,Graduate,Married,Car Loan,0
